date,dayType,workingMinutes,description
2026-07-06,working,960,Робочий день (2 зміни)
2026-07-07,working,960,Робочий день (2 зміни)
2026-07-08,working,960,Робочий день (2 зміни)
2026-07-09,working,960,Робочий день (2 зміни)
2026-07-10,working,960,Робочий день (2 зміни)
2026-07-11,working,960,Робочий день (2 зміни)
2026-07-12,working,960,Робочий день (2 зміни)
2026-07-13,working,960,Робочий день (2 зміни)
2026-07-14,working,960,Робочий день (2 зміни)
2026-07-15,working,960,Робочий день (2 зміни)
2026-07-16,working,960,Робочий день (2 зміни)
2026-07-17,working,960,Робочий день (2 зміни)
2026-07-18,working,960,Робочий день (2 зміни)
2026-07-19,working,960,Робочий день (2 зміни)
2026-07-20,working,960,Робочий день (2 зміни)
2026-07-21,working,960,Робочий день (2 зміни)
2026-07-22,working,960,Робочий день (2 зміни)
2026-07-23,working,960,Робочий день (2 зміни)
2026-07-24,working,960,Робочий день (2 зміни)
2026-07-25,working,960,Робочий день (2 зміни)
2026-07-26,working,960,Робочий день (2 зміни)
2026-07-27,working,960,Робочий день (2 зміни)
2026-07-28,working,960,Робочий день (2 зміни)
2026-07-29,working,960,Робочий день (2 зміни)
2026-07-30,working,960,Робочий день (2 зміни)
2026-07-31,working,960,Робочий день (2 зміни)
