nomenclatureId,opNo,opName,opType,rcGroupId,durationMin
Вал-шестірня,10,Токарна,Токарна,РЦ-ТОКАР,30
Вал-шестірня,20,Фрезерна,Фрезерна,РЦ-ФРЕЗЕР,45
Вал-шестірня,30,Термообробка,Термообробка,РЦ-ТЕРМО,60
Вал-шестірня,40,Шліфувальна,Шліфувальна,РЦ-ШЛІФ,25
Корпус підшипника,10,Фрезерна,Фрезерна,РЦ-ФРЕЗЕР,40
Корпус підшипника,20,Свердлильна,Свердлильна,РЦ-СВЕРДЛ,15
Муфта зубчаста,10,Токарна,Токарна,РЦ-ТОКАР,30
Муфта зубчаста,20,Довбальна,Довбальна,РЦ-ЗУБОДОЛ,40
Шків приводний,10,Токарна,Токарна,РЦ-ТОКАР,35
Редуктор Ц2У,10,Складання,Складання,РЦ-СКЛАД,60
Редуктор Ц2У,20,Випробування,Випробування,РЦ-ВІСПРОБ,30
